latitude,longitude,elevation,time
30.11032,118.16847,908.24,2009-12-31 23:02:42+00:00
30.11036,118.16849,910.74,2009-12-31 23:02:44+00:00
30.11041,118.1685,913.79,2009-12-31 23:02:46+00:00
30.11046,118.16851,916.73,2009-12-31 23:02:48+00:00
30.11049,118.16855,917.82,2009-12-31 23:02:50+00:00
30.11051,118.16861,917.73,2009-12-31 23:02:52+00:00
30.11053,118.16865,918.92,2009-12-31 23:02:54+00:00
30.11056,118.16869,920.56,2009-12-31 23:02:56+00:00
30.11061,118.1687,923.6,2009-12-31 23:02:58+00:00
30.11064,118.16868,925.5,2009-12-31 23:02:59+00:00
30.1107,118.16868,929.23,2009-12-31 23:03:01+00:00
30.11075,118.16869,932.19,2009-12-31 23:03:03+00:00
30.11079,118.16872,934.11,2009-12-31 23:03:05+00:00
30.11082,118.16875,935.26,2009-12-31 23:03:07+00:00
30.11087,118.16876,937.57,2009-12-31 23:03:09+00:00
30.11092,118.16876,940.01,2009-12-31 23:03:11+00:00
30.11096,118.16876,941.96,2009-12-31 23:03:13+00:00
30.11101,118.16874,944.78,2009-12-31 23:03:15+00:00
30.11106,118.16874,947.2,2009-12-31 23:03:17+00:00
30.1111,118.16875,948.96,2009-12-31 23:03:18+00:00
30.11114,118.16878,950.13,2009-12-31 23:03:20+00:00
30.11118,118.16882,951.09,2009-12-31 23:03:22+00:00
30.11122,118.16883,952.6,2009-12-31 23:03:24+00:00
30.11127,118.16884,954.54,2009-12-31 23:03:26+00:00
30.11131,118.16884,956.22,2009-12-31 23:03:28+00:00
30.11136,118.16885,958.2,2009-12-31 23:03:30+00:00
30.11141,118.16885,960.02,2009-12-31 23:03:32+00:00
30.11145,118.16887,960.95,2009-12-31 23:03:33+00:00
30.1115,118.16889,962.19,2009-12-31 23:03:36+00:00
30.11154,118.16892,963.27,2009-12-31 23:03:37+00:00
30.11158,118.16895,964.53,2009-12-31 23:03:39+00:00
30.11162,118.16896,965.91,2009-12-31 23:03:41+00:00
30.11167,118.16898,967.72,2009-12-31 23:03:43+00:00
30.11172,118.16898,968.75,2009-12-31 23:03:45+00:00
30.11176,118.16899,969.62,2009-12-31 23:03:47+00:00
30.11181,118.169,970.69,2009-12-31 23:03:49+00:00
30.11185,118.16903,971.64,2009-12-31 23:03:51+00:00
30.11189,118.16905,972.52,2009-12-31 23:03:52+00:00
30.11194,118.16907,973.57,2009-12-31 23:03:55+00:00
30.11198,118.1691,973.76,2009-12-31 23:03:56+00:00
30.11203,118.16911,973.8,2009-12-31 23:03:58+00:00
30.11207,118.16912,973.83,2009-12-31 23:04:00+00:00
30.11212,118.16913,973.87,2009-12-31 23:04:02+00:00
30.11216,118.16914,973.9,2009-12-31 23:04:04+00:00
30.11221,118.16914,973.9,2009-12-31 23:04:06+00:00
30.11226,118.16914,974.12,2009-12-31 23:04:08+00:00
30.1123,118.16914,974.35,2009-12-31 23:04:09+00:00
30.11235,118.16914,974.63,2009-12-31 23:04:11+00:00
30.11239,118.16917,974.79,2009-12-31 23:04:13+00:00
30.11244,118.16918,975.65,2009-12-31 23:04:15+00:00
30.11248,118.16919,976.61,2009-12-31 23:04:17+00:00
30.11253,118.1692,979.0,2009-12-31 23:04:19+00:00
30.11258,118.16919,980.82,2009-12-31 23:04:21+00:00
30.11262,118.16919,982.84,2009-12-31 23:04:23+00:00
30.11267,118.1692,985.89,2009-12-31 23:04:25+00:00
30.11267,118.16921,986.41,2009-12-31 23:04:25+00:00
30.11272,118.16924,990.12,2009-12-31 23:04:27+00:00
30.11277,118.16926,993.04,2009-12-31 23:04:29+00:00
30.1128,118.16929,995.44,2009-12-31 23:04:31+00:00
30.11284,118.16932,998.11,2009-12-31 23:04:33+00:00
30.11287,118.16936,1000.42,2009-12-31 23:04:35+00:00
30.11291,118.16939,1002.59,2009-12-31 23:04:37+00:00
30.11294,118.16943,1004.39,2009-12-31 23:04:38+00:00
30.11298,118.16946,1006.75,2009-12-31 23:04:40+00:00
30.11302,118.16948,1009.12,2009-12-31 23:04:42+00:00
30.11306,118.16951,1012.26,2009-12-31 23:04:44+00:00
30.1131,118.16953,1015.77,2009-12-31 23:04:46+00:00
30.11314,118.16956,1020.09,2009-12-31 23:04:48+00:00
30.11319,118.16957,1023.77,2009-12-31 23:04:50+00:00
30.11323,118.16959,1027.67,2009-12-31 23:04:51+00:00
30.11328,118.1696,1031.55,2009-12-31 23:04:53+00:00
30.11332,118.16962,1035.68,2009-12-31 23:04:55+00:00
30.11337,118.16962,1037.21,2009-12-31 23:04:57+00:00
30.11342,118.16963,1038.71,2009-12-31 23:04:59+00:00
30.11346,118.16962,1038.86,2009-12-31 23:05:01+00:00
30.11351,118.16961,1039.45,2009-12-31 23:05:03+00:00
30.11356,118.16961,1040.51,2009-12-31 23:05:05+00:00
30.1136,118.16962,1041.43,2009-12-31 23:05:07+00:00
30.11365,118.16964,1042.79,2009-12-31 23:05:09+00:00
30.11369,118.16965,1043.89,2009-12-31 23:05:10+00:00
30.11374,118.16965,1045.25,2009-12-31 23:05:12+00:00
30.11379,118.16965,1046.61,2009-12-31 23:05:14+00:00
30.11383,118.16964,1047.83,2009-12-31 23:05:16+00:00
30.11388,118.16963,1049.4,2009-12-31 23:05:18+00:00
30.11392,118.16963,1055.86,2009-12-31 23:05:20+00:00
30.11397,118.16964,1065.76,2009-12-31 23:05:22+00:00
30.11401,118.16967,1073.76,2009-12-31 23:05:24+00:00
30.11405,118.1697,1082.11,2009-12-31 23:05:25+00:00
30.11409,118.16973,1091.08,2009-12-31 23:05:27+00:00
30.11413,118.16975,1100.03,2009-12-31 23:05:29+00:00
30.11417,118.16971,1106.98,2009-12-31 23:05:31+00:00
30.1142,118.16967,1108.52,2009-12-31 23:05:33+00:00
30.11424,118.16967,1111.7,2009-12-31 23:05:35+00:00
30.11428,118.16971,1115.09,2009-12-31 23:05:37+00:00
30.11432,118.16974,1118.61,2009-12-31 23:05:39+00:00
30.11436,118.16977,1122.69,2009-12-31 23:05:41+00:00
30.1144,118.16979,1126.62,2009-12-31 23:05:42+00:00
30.11445,118.1698,1131.24,2009-12-31 23:05:44+00:00
30.11449,118.16979,1135.14,2009-12-31 23:05:46+00:00
30.11453,118.16977,1138.72,2009-12-31 23:05:48+00:00
30.11457,118.16974,1142.09,2009-12-31 23:05:50+00:00
30.11462,118.16974,1147.77,2009-12-31 23:05:52+00:00
30.11466,118.16976,1152.86,2009-12-31 23:05:53+00:00
30.11469,118.1698,1157.2,2009-12-31 23:05:55+00:00
30.11472,118.16985,1161.53,2009-12-31 23:05:57+00:00
30.11475,118.16989,1163.92,2009-12-31 23:05:59+00:00
30.11478,118.16992,1165.86,2009-12-31 23:06:01+00:00
30.11482,118.16996,1168.26,2009-12-31 23:06:03+00:00
30.11485,118.17,1170.06,2009-12-31 23:06:05+00:00
30.11488,118.17004,1171.17,2009-12-31 23:06:07+00:00
30.1149,118.17009,1171.68,2009-12-31 23:06:08+00:00
30.1149,118.17014,1171.48,2009-12-31 23:06:10+00:00
30.1149,118.1702,1171.23,2009-12-31 23:06:12+00:00
30.11491,118.17025,1171.17,2009-12-31 23:06:14+00:00
30.11494,118.1703,1170.92,2009-12-31 23:06:16+00:00
30.11496,118.17035,1170.12,2009-12-31 23:06:18+00:00
