distance,elevation_change,speed,energy
0.0,0.0,0.0,0.0
7.351797642649119,0.11000000000001364,0.0,0.0
5.596461317723392,-0.6399999999999864,2.798230658861696,2.6401522922406415
6.294484900719729,-0.6200000000000045,3.1472424503598644,2.6953139430503796
4.938422783262838,-0.16000000000008185,2.469211391631419,2.5220447974141478
5.108483838487906,-0.40999999999996817,2.554241919243953,2.6784438686941634
5.876889271925133,0.0,2.9384446359625667,2.8613822490347594
4.936192476815854,-0.05999999999994543,2.468096238407927,2.5849667366885893
5.773238798698721,0.16999999999995907,2.8866193993493603,2.9076767159088974
4.9368402315053554,-0.10000000000002274,2.4684201157526777,2.559789408102673
5.886714472542299,-0.34000000000003183,2.9433572362711495,2.754970013077951
5.341729428792587,-0.67999999999995,2.6708647143962936,2.6097210600154965
5.343010754380751,-0.6900000000000546,2.6715053771903756,2.606660752806635
5.926103953496286,-0.92999999999995,2.963051976748143,2.5718772767447557
5.343008562907525,-0.6899999999999409,2.6715042814537626,2.606660599403545
5.854859917380027,0.15999999999996817,2.9274299586900137,2.910240194216592
5.315685945577409,0.42999999999995,2.6578429727887043,2.957548016190403
5.3173402860724375,0.4500000000000455,2.6586701430362187,2.9639638200250844
5.123801146134091,0.5699999999999363,5.123801146134091,1.7632160802293664
5.887557882161311,0.6400000000001,1.9625192940537703,4.2842645258757095
5.13082061662179,0.6299999999999955,5.13082061662179,1.782607443163524
5.997483614926587,1.3099999999999454,1.999161204975529,4.710211926522396
4.842847714969093,2.0,4.842847714969093,2.1939993400478364
6.718904791428627,3.2999999999999545,3.3594523957143134,3.959823335399989
5.23104481758174,2.7600000000001046,2.61552240879087,3.685573137230755
0.0,0.0,0.0,0.0
7.17468871663819,4.149999999999977,0.0,0.0
7.222169178620562,3.730000000000018,3.611084589310281,4.130501842503445
6.392068113911085,2.5699999999999363,3.1960340569555425,3.7069947679737556
5.1170964459463715,1.3500000000000227,2.5585482229731857,3.233446751216253
5.531687131860335,1.5900000000000318,2.7658435659301674,3.3380680992302336
5.540383845837633,1.6200000000000045,2.7701919229188166,3.3481268692086354
5.549229116744964,1.6499999999999773,2.774614558372482,3.3581960381721405
6.900543730652119,2.169999999999959,3.4502718653260596,3.616588061145636
6.591291203776469,2.2799999999999727,3.2956456018882343,3.6295903842643447
8.02537301108945,2.82000000000005,2.6751243370298163,5.125076110776276
5.410841551306972,1.830000000000041,2.705420775653486,3.4052089085915016
5.481714813877732,2.0299999999999727,2.740857406938866,3.4731700369714327
6.644662935733778,2.42999999999995,3.322331467866889,3.680576405501349
5.48171344776607,2.0300000000000864,2.740856723883035,3.473169941343652
5.377840953414745,1.7299999999999045,2.6889204767073727,3.3713988667390025
6.067411326183015,1.6000000000000227,3.0337056630915074,3.378718792832818
5.40520236874615,1.07000000000005,2.702601184373075,3.165414165812246
5.364410804525631,0.8399999999999181,2.6822054022628157,3.0901087563167686
4.965239444478293,0.5400000000000773,4.965239444478293,1.7426667611135047
6.30163769438666,1.2099999999999227,2.1005458981288867,4.657857319303485
5.070265149862566,1.1600000000000819,5.070265149862566,1.9453185604904055
5.065726404681749,1.1399999999999864,2.5328632023408746,3.1637008483277187
5.17801393941311,0.9399999999999409,2.589006969706555,3.1085609757588992
5.059057745411175,1.1100000000000136,2.5295288727055874,3.1537840421787866
6.299720919160074,1.2000000000000455,3.149860459580037,3.2689804643412197
5.960211999035403,0.9700000000000273,2.9801059995177015,3.172764839932487
5.129580721758468,0.6200000000000045,2.564790360879234,3.004370650523094
4.856477692424701,0.31999999999993634,2.4282388462123503,2.8215767192348244
5.881291873398817,0.08000000000004093,2.9406459366994087,2.88689043113793
5.306265930971791,-0.22000000000002728,2.6531329654858955,2.7521386151680165
5.89952936711637,-0.44000000000005457,2.949764683558185,2.7243670556981288
5.357326101229961,-0.7699999999999818,2.6786630506149804,2.5824628270861028
6.292528579120673,0.6000000000000227,3.1462642895603365,3.0794770005384544
4.9233988348963535,0.8700000000000045,2.4616994174481768,3.1704189592213754
5.398927768218014,1.0199999999999818,2.699463884109007,3.1492249437752555
5.3333305063949235,0.5800000000000409,5.3333305063949235,1.7810331354476574
5.092050223628674,-0.029999999999972715,2.546025111814337,2.7969935156540155
5.901117113670527,-0.4900000000000091,2.9505585568352637,2.708728197956934
5.975505936347963,-1.0600000000000591,1.9918353121159875,3.216342707772142
5.128366456188667,-0.6100000000000136,5.128366456188667,1.3918356519332025
5.665323349162311,0.5099999999999909,2.8326616745811557,3.0072226344413586
4.5718166266801035,0.44000000000005457,2.2859083133400517,2.887213581933838
6.277917526148244,0.4199999999999591,3.138958763074122,3.0217542268303648
5.598924926583342,1.8000000000000682,2.799462463291671,3.408924744860855
2.5276730344076004,0.7199999999999136,2.5276730344076004,1.628737112408505
9.824798387950596,3.580000000000041,3.2749327959835317,5.490435887156554
4.880678340328031,2.090000000000032,2.4403391701640156,3.9375237419115012
5.709845301127745,2.1200000000000045,2.8549226505638723,3.5174891710789438
6.161862404872025,1.8400000000000318,3.0809312024360125,3.4609303683410517
5.978406274336278,1.2199999999999136,2.989203137168139,3.252788439203512
5.144007252237926,0.7300000000000182,2.572003626118963,3.040030507656661
5.377806394879975,1.7300000000000182,2.6889031974399873,3.3713964476416036
6.5398917717716305,1.8799999999999955,3.2699458858858153,3.499992424024013
5.848707456582009,1.5399999999999636,2.9243537282910044,3.344509521960729
4.724489128540937,1.2699999999999818,2.3622445642704686,3.415457119498921
5.055342806304261,1.4400000000000546,5.055342806304261,2.0324739964413157
