distance,elevation_change,speed,energy
11.639845142175373,-7.0,2.9099612855438433,-7.9360154857824625
14.44953273069259,-7.0,2.8899065461385183,-7.655046726930738
8.301049069157783,-3.0,2.7670163563859274,-1.069895093084221
4.550560009685549,-1.0,2.2752800048427746,2.155056000968555
8.682181380440003,-1.0,2.8940604601466675,2.568218138044
12.06072080970711,-1.0,3.0151802024267775,2.906072080970711
8.012475077598753,1.0,2.6708250258662507,6.101247507759876
8.012472973736916,2.0,2.670824324578972,7.901247297373692
11.284586081696336,0.0,2.821146520424084,4.628458608169634
13.377996040557436,-1.0,2.675599208111487,3.037799604055744
5.880298074040527,-1.0,2.9401490370202636,2.288029807404053
8.384978555506077,-2.0,2.794992851835359,0.7384978555506079
3.0917009633970243,-2.0,3.0917009633970243,0.2091700963397023
6.6645786447749344,-5.0,3.3322893223874672,-4.8335421355225066
5.301421962653972,-3.0,2.650710981326986,-1.369857803734603
9.691571424395008,-3.0,2.422892856098752,-0.9308428575604983
7.28502039339198,-4.0,3.64251019669599,-2.971497960660802
19.377687173916822,-12.0,2.7682410248452602,-16.162231282608317
4.447797065613965,-2.0,2.2238985328069827,0.34477970656139645
3.471679779832366,-2.0,3.471679779832366,0.24716797798323675
17.48939284683528,5.0,2.91489880780588,14.248939284683528
12.821973209990707,-7.0,2.5643946419981414,-7.817802679000929
7.284998627865737,-5.0,2.428332875955246,-4.771500137213426
8.017719373968907,-1.0,2.6725731246563025,2.5017719373968905
16.135905664667074,10.0,3.227181132933415,23.113590566466712
5.0914268976961115,-4.0,2.5457134488480557,-3.190857310230389
4.845779910311304,1.0,2.422889955155652,5.784577991031131
8.30103352466697,1.0,2.76701117488899,6.130103352466697
10.190662340843666,0.0,2.5476655852109165,4.519066234084367
9.275016963206076,6.0,3.091672321068692,15.227501696320608
19.000717632684218,-1.0,2.7143882332406024,3.6000717632684216
31.295552083379455,11.0,2.8450501893981324,26.429555208337945
10.415030108073182,0.0,2.6037575270182955,4.541503010807318
7.8428173807773325,-2.0,2.614272460259111,0.6842817380777331
12.527199007187077,-1.0,3.1317997517967693,2.9527199007187077
10.053635092788388,-1.0,2.513408773197097,2.705363509278839
10.927413198588983,-4.0,2.7318532996472458,-2.6072586801411015
17.34426610882061,2.0,2.890711018136768,8.834426610882062
11.592509186611933,0.0,2.898127296652983,4.6592509186611935
11.949626939440533,-7.0,2.987406734860133,-7.905037306055947
22.903547206814963,-5.0,2.544838578534996,-3.2096452793185035
8.895594131622975,2.0,2.965198043874325,7.989559413162297
6.731097183118223,-1.0,3.3655485915591115,2.373109718311822
10.808695837989822,-2.0,2.7021739594974554,0.9808695837989818
14.423776753282441,-3.0,2.884755350656488,-0.4576223246717559
11.474541491885855,-3.0,2.8686353729714638,-0.7525458508114147
15.093988458531658,-5.0,2.51566474308861,-3.990601154146832
9.869673225684789,-2.0,3.289891075228263,0.8869673225684789
10.594695248454318,-1.0,2.6486738121135796,2.7594695248454317
9.615853116592811,-4.0,2.403963279148203,-2.738414688340719
6.822324021292038,-3.0,3.411162010646019,-1.2177675978707967
6.822324021292038,3.0,2.2741080070973463,9.582232402129204
9.615853116592811,4.0,3.2052843721976036,11.661585311659282
10.594695248454318,1.0,2.6486738121135796,6.359469524845432
9.869673225684789,2.0,3.289891075228263,8.08696732256848
15.093988458531658,5.0,2.51566474308861,14.009398845853164
11.474541491885855,3.0,2.8686353729714638,10.047454149188585
14.423776753282441,3.0,2.884755350656488,10.342377675328244
10.808695837989822,2.0,2.7021739594974554,8.180869583798982
6.731097183118223,1.0,2.2436990610394076,5.9731097183118225
8.895594131622975,-2.0,2.965198043874325,0.7895594131622974
22.903547206814963,5.0,2.8629434008518704,14.790354720681496
11.949626939440533,7.0,2.987406734860133,17.29496269394405
11.592509186611933,0.0,2.898127296652983,4.6592509186611935
17.34426610882061,-2.0,2.477752301260087,1.6344266108820609
10.927413198588983,4.0,2.7318532996472458,11.792741319858898
10.053635092788388,1.0,3.3512116975961295,6.305363509278839
12.527199007187077,1.0,2.5054398014374155,6.552719900718708
7.8428173807773325,2.0,2.614272460259111,7.884281738077734
10.415030108073182,0.0,3.471676702691061,4.541503010807318
31.295552083379455,-11.0,2.6079626736149546,-13.170444791662057
19.000717632684218,1.0,3.1667862721140363,7.200071763268422
9.275016963206076,-6.0,2.318754240801519,-6.372498303679393
10.190662340843666,0.0,3.3968874469478885,4.519066234084367
8.30103352466697,-1.0,2.76701117488899,2.530103352466697
4.845779910311304,-1.0,2.422889955155652,2.18457799103113
5.0914268976961115,4.0,2.5457134488480557,11.20914268976961
16.135905664667074,-10.0,2.6893176107778456,-12.886409433533295
8.017719373968907,1.0,2.6725731246563025,6.101771937396891
7.284998627865737,5.0,3.6424993139328685,13.228499862786574
12.821973209990707,7.0,2.5643946419981414,17.38219732099907
17.48939284683528,-5.0,2.91489880780588,-3.7510607153164717
3.471679779832366,2.0,1.735839889916183,7.447167977983237
4.447797065613965,2.0,4.447797065613965,6.189559413122793
19.377687173916822,12.0,2.7682410248452602,27.037768717391685
7.28502039339198,4.0,2.42834013113066,11.428502039339199
9.691571424395008,3.0,3.2305238081316694,9.869157142439501
5.301421962653972,3.0,2.650710981326986,9.430142196265397
6.6645786447749344,5.0,2.221526214924978,13.166457864477493
3.0917009633970243,2.0,3.0917009633970243,7.409170096339702
8.384978555506077,2.0,2.794992851835359,7.938497855550608
5.880298074040527,1.0,2.9401490370202636,5.8880298074040525
13.377996040557436,1.0,2.675599208111487,6.637799604055743
11.284586081696336,0.0,2.821146520424084,4.628458608169634
